Типы данных
 
Op          Размер или значение  С++
 
Shortlnt    целое 8 бит                                signed char
Smalllnt    целое 16 бит                               short
Longlnt     целое 32 бита                              int
Byte        целое без знака 8 бит                      unsigned char
Word        целое без знака 16 бит                     unsigned short
Integer     целое 32 бита                              int
Cardinal    целое без знака 32 бита                    unsigned int
Boolean     true,false или                             bool
ByteBool    true,false или целое без знака 8 бит       unsigned char
WordBool    true,false или целое без знака 16 бит      unsigned short
LongBool    true,false или целое без знака 32 бита     BOOL (WinAPI)
AnsiChar    символ без знака 8 бит                     char
WideChar    символ UNICODE размером в слово            wchar_t
Char        символ без знака 8 бит                     char
AnsiString  AnsiString Delphi                          AnsiString
String[n]   прежний стиль строк Delphi, n= 1..255 бит  SmallString<n>
ShortString прежний стиль строк Delphi, 255 бит        SmallString<255>
String      AnsiString Delphi                          AnsiString
Single      число с плавающей запятой 32 бита          float
Double      число с плавающей запятой 64 бита          double
Extended    число с плавающей запятой 80 бит           long double
Real        число с плавающей запятой 32 бита          double
Pointer     родовой указатель 32 бита                  void *
PChar       указатель на символы 32 бита               unsigned char *
PAnsiChar   указатель на символы ANSI 32 бита          unsigned char *
Comp        число с плавающей запятой 64 бита          Comp
OleVariant  значение variant OLE                       OleVariant



